Rentang rata-rata besar Transaksi (Rp),Kategori,
100.000 - 250.000,1. 100.000 - 250.000,
>250.000 - 500.000,2. >250.000 - 500.000,
>500.000 - 750.000,3. >500.000 - 750.000,
>750.000 - 1.000.000,4. >750.000 - 1.000.000,-
>1.000.000 - 2.500.000,5. >1.000.000 - 2.500.000,
>2.500.000 - 5.000.000,6. >2.500.000 - 5.000.000,
> 5.000.000 - 10.000.000,7. > 5.000.000 - 10.000.000,
>10.000.000,8. >10.000.000,
